Id,Nombre,Descripcion,Mililitros,Precio,Descuento,PrecioConDescuento,FechaHoraScraping
1,SMIRNOFF,Licor smirnoff vodka lulo caja tetrapack x1000ml,x1000ml,$ 46.990,0,$ 46.990,2023-04-12 22:33:08
2,CONVIER,Licor Convier crema triple sec 750ml,750ml,$ 67.990,,$ 46.990,2023-04-12 22:33:08
3,VIEJO DE CALDAS,Licor De Ron Viejo De Caldas Esencial x750ml,x750ml,$ 35.290,,$ 46.990,2023-04-12 22:33:08
4,SMIRNOFF,Licor smirnoff vodka lulo x375ml,x375ml,$ 21.990,,$ 46.990,2023-04-12 22:33:08
5,SMIRNOFF,Licor Smirnoff vodka lulo sin azúcar x750 ml,ml,$ 43.890,,$ 46.990,2023-04-12 22:33:08
6,VIEJO DE CALDAS,Licor De Ron Viejo De Caldas Esencial x375ml,x375ml,$ 18.590,,$ 46.990,2023-04-12 22:33:08
7,CONVIER,Licor convier triple sec azul 35 x 750ml,750ml,$ 67.990,,$ 46.990,2023-04-12 22:33:08
8,SMIRNOFF,Licor smirnoff vodka lulo x750ml edicion especial,especial,$ 39.990,,$ 46.990,2023-04-12 22:33:08
9,DISARONNO,Licor disaronno original italiano botella x750ml,x750ml,$ 163.990,,$ 46.990,2023-04-12 22:33:08
10,BARDINET,Licor amaretto Bardinet botella x 700 cm 3,3,$ 59.990,,$ 46.990,2023-04-12 22:33:08
11,CUARENTAYTRES,Licor de whisky 43 original botella x 750 ml,ml,$ 129.990,,$ 46.990,2023-04-12 22:33:08
12,SMIRNOFF,Licor Smirnoff vodka lulo sin azúcar x350 ml,ml,$ 23.990,,$ 46.990,2023-04-12 22:33:08
13,MEDELLIN,Licor de Ron Medellin x750ml,x750ml,$ 35.990,,$ 46.990,2023-04-12 22:33:08
14,MEDELLIN,Licor de Ron Medellin x375ml,x375ml,$ 18.590,,$ 46.990,2023-04-12 22:33:08
15,BARDINET,Licor Triple Sec Bardinet Botella x700ml,x700ml,$ 59.990,,$ 46.990,2023-04-12 22:33:08
16,SMIRNOFF,Licor Smirnoff vodka lulo sin azúcar x1000 ml,ml,$ 51.990,,$ 46.990,2023-04-12 22:33:08
17,NOBLE,Licor noble ligth 24% vol blanco x375ml,x375ml,$ 31.990,,$ 46.990,2023-04-12 22:33:08
18,BAILEYS,Crema de whisky Baileys x700ml,x700ml,$ 69.990,,$ 46.990,2023-04-12 22:33:08
19,BUCHANAN'S,Whisky Buchanan's Deluxe 12 años x750ml,x750ml,$ 152.990,,$ 46.990,2023-04-12 22:33:08
20,GRAND OLD,Whisky Old Parr 12 años x 1000ml,1000ml,$ 172.990,,$ 46.990,2023-04-12 22:33:08
21,GRAND OLD,Whisky Old Parr 12 años x750ml,x750ml,$ 137.990,,$ 46.990,2023-04-12 22:33:08
22,BUCHANAN'S,Whisky Buchanan's Master x750ml,x750ml,$ 174.990,,$ 46.990,2023-04-12 22:33:08
23,BUCHANAN'S,Whisky Buchanan's Deluxe x1000ml,x1000ml,$ 194.990,,$ 46.990,2023-04-12 22:33:08
24,GORDON´S,Ginebra Gordon's Dry Gin x700ml,x700ml,$ 69.990,,$ 46.990,2023-04-12 22:33:08
25,CHIVAS REGAL,Whisky Chivas Regal 12 años x1000cm3,x1000cm3,$ 171.890,,$ 46.990,2023-04-12 22:33:08
26,BUCHANAN'S,Whisky Buchanan's 18 años x750ml,x750ml,$ 349.890,,$ 46.990,2023-04-12 22:33:08
27,BUCHANAN'S,Whisky Buchanan's Master x1000ml,x1000ml,$ 209.990,,$ 46.990,2023-04-12 22:33:08
28,GRANTS,Whisky Grants botella x1750ml,x1750ml,$ 130.990,,$ 46.990,2023-04-12 22:33:08
29,JOHNNIE WALKER,Whisky Johnnie Walker blue label botella x 750 ml,ml,$ 1.099.990,0,$ 1.099.990,2023-04-12 22:33:08
30,BAILEYS,Crema de whisky Baileys botella x 1000ml,1000ml,$ 95.990,,$ 1.099.990,2023-04-12 22:33:08
31,JOSE CUERVO,Tequila Jose cuervo especial botella x 750ml,750ml,$ 95.990,,$ 1.099.990,2023-04-12 22:33:08
